reviewScore,genres,runtime,name,titleId
3.7,"Crime,Drama",91 min,First We Take Brooklyn,tt5673714
9.6,"Comedy,Drama",99 min,Yowis Ben,tt8024712
6.4,Drama,117 min,Eiffel I'm in Love 2,tt7946644
5.0,Comedy,108 min,Walk Like a Panther,tt6962204
7.3,Comedy,94 min,Eighth Grade,tt7014006
7.9,"Drama,Family",125 min,Gayatri,tt7690466
9.0,Comedy,119 min,Spiele mit Bart: The Movie feat. Night Trap,tt7984730
3.6,Horror,88 min,Devil's Acid,tt6853910
4.1,Thriller,90 min,In the Cloud,tt7381444
5.4,Comedy,108 min,Step Sisters,tt5267472
7.2,"Comedy,Romance",133 min,Love Per Square Foot,tt7853242
4.8,"Action,Thriller",103 min,The Hurricane Heist,tt5360952
6.4,"Horror,Thriller",76 min,Devil's Tree: Rooted Evil,tt7315526
5.0,"Action,Adventure",90 min,Guardians of the Tomb,tt4915672
5.1,"Action,Sci-Fi",96 min,Scorched Earth,tt2392748
7.2,"Comedy,Drama,Thriller",95 min,Cebimdeki Yabanci,tt7862330
8.5,Drama,100 min,Scott and Sid,tt4702346
7.4,"Action,Drama,Thriller",139 min,Operation Red Sea,tt6878882
6.0,Drama,120 min,Mary Magdalene,tt5360996
6.0,"Drama,Fantasy,Romance",97 min,Every Day,tt7026672
5.1,"Action,Crime,Drama",157 min,Aiyaary,tt6774212
7.6,Crime,116 min,American Animals,tt6212478
4.7,Thriller,95 min,Relentless,tt3486210
6.7,Thriller,115 min,Sara's Notebook,tt6599742
5.2,"Comedy,Drama",,No Estoy Loca,tt4060006
4.9,"Fantasy,Thriller",85 min,The Ashram,tt5596104
3.0,Comedy,95 min,Benyamin Biang Kerok,tt8065772
6.3,Horror,93 min,The Night Eats the World,tt4266076
7.9,Comedy,157 min,GujjuBhai: Most Wanted,tt7790898
7.4,Drama,104 min,Wildlife,tt5929754
7.2,"Comedy,Music",,Heavy Trip,tt7220754
6.8,Comedy,96 min,Tully,tt5610554
6.8,"Biography,Comedy,Drama",113 min,"Don't Worry, He Won't Get Far on Foot",tt6288124
7.1,"Drama,History",108 min,"Paul, Apostle of Christ",tt7388562
4.7,"Drama,Thriller",105 min,The Neighbor,tt3905764
6.1,"Drama,Romance",91 min,Midnight Sun,tt4799066
5.5,"Crime,Drama,Thriller",107 min,7 Days in Entebbe,tt5466186
7.6,"Comedy,Drama",116 min,Hichki,tt6588966
7.1,Crime,125 min,Gangsta,tt6438030
8.5,"Sci-Fi,Thriller",150 min,Awe!,tt7797658
5.5,Drama,88 min,The Real Estate,tt6258766
6.8,Comedy,,O chyom govoryat muzhchiny. Prodolzhenie,tt8054150
6.1,Comedy,90 min,The Tribe,tt6708044
6.2,"Drama,History,Thriller",108 min,Backstabbing for Beginners,tt5153288
4.7,"Family,Sport",89 min,The Rocket,tt5181834
6.3,Comedy,100 min,Metti la nonna in freezer,tt6982104
9.2,Drama,106 min,Hey Ram Hamne Gandhi Ko maar Diya,tt7972674
2.2,"Horror,Thriller",84 min,The Terrible Two,tt5278886
8.6,"Crime,Mystery,Thriller",139 min,Ira,tt7601308
6.4,Romance,97 min,Not Cinderella's Type,tt7231572
